,summaryID,candidate,gold,title,grammatical_correctness_1,arrangement_1,quality_1,conciseness_1,exhaustiveness_1,subjectiveScore_1,annotator_1,grammatical_correctness_2,arrangement_2,quality_2,conciseness_2,exhaustiveness_2,subjectiveScore_2,annotator_2,url
0,0,The Daman and Diu administration on Wednesday withdrew a circular that asked women staff to tie rakhis on male colleagues. The order triggered a backlash from employees and was ripped apart on social media. The circular was withdrawn through a one-line order issued late in the evening.,The Administration of Union Territory Daman and Diu has revoked its order that made it compulsory for women to tie rakhis to their male colleagues on the occasion of Rakshabandhan on August 7. The administration was forced to withdraw the decision within 24 hours of issuing the circular after it received flak from employees and was slammed on social media.,Daman & Diu revokes mandatory Rakshabandhan in offices order,4,5,3,5,4,4,devansh,4,3,5,5,5,4,viranya,http://www.hindustantimes.com/india-news/rakshabandhan-compulsory-in-daman-and-diu-women-employees-to-tie-rakhis-to-male-colleagues/story-E5h5U1ZDJii5zFpLXWRkhJ.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
1,1,"Malaika Arora Khan is the brand ambassador of Khanna Jewellers. On Wednesday, a follower decided to troll her for using her alimony money to wear short clothes. The Munni Badnam star responded with the perfect comeback.","Malaika Arora slammed an Instagram user who trolled her for ""divorcing a rich man"" and ""having fun with the alimony"". ""Her life now is all about wearing short clothes, going to gym or salon, enjoying vacation[s],"" the user commented. Malaika responded, ""You certainly got to get your damn facts right before spewing sh*t on me...when you know nothing about me.""",Malaika slams user who trolled her for 'divorcing rich man' ,4,3,2,2,3,3,devansh,4,2,3,3,3,4,viranya,http://www.hindustantimes.com/bollywood/malaika-arora-khan-was-trolled-for-divorcing-a-rich-man-her-reply-is-dignity-itself/story-oIPZNI9deImCmabLMMwR2H.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
2,2,"Until now, new recruits to the super-specialty medical institute in Patna were required to declare if they were bachelors, widowers or virgins. Bihar health minister Mangal Pandey had ended up redefining the very meaning of virginity in his attempts to justify the awkward phrasing of the form.","The Indira Gandhi Institute of Medical Sciences (IGIMS) in Patna on Thursday made corrections in its Marital Declaration Form by changing 'Virgin' option to 'Unmarried'. Earlier, Bihar Health Minister defined virgin as being an unmarried woman and did not consider the term objectionable. The institute, however, faced strong backlash for asking new recruits to declare their virginity in the form.",'Virgin' now corrected to 'Unmarried' in IGIMS' form,4,5,4,4,4,4,devansh,4,5,4,5,5,4,viranya,http://www.hindustantimes.com/patna/bihar-igims-form-loses-virginity-after-row-opts-for-unmarried-instead/story-8XmHIg39otGBoZAYEBQxMK.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
3,3,Lashkar-e-Taiba's Kashmir commander Abu Dujana was killed in an encounter in a village in Pulwama district of Jammu and Kashmir earlier this week. Reports say that he had come to meet his wife when he was trapped inside a house in Hakripora village. Security officials involved in the encounter tried their best to convince him to surrender but he refused.,"Lashkar-e-Taiba's Kashmir commander Abu Dujana, who was killed by security forces, said ""Kabhi hum aage, kabhi aap, aaj aapne pakad liya, mubarak ho aapko (Today you caught me. Congratulations)"" after being caught. He added that he won't surrender, and whatever is in his fate will happen to him. ""Hum nikley they shaheed hone (had left home for martyrdom),"" he added.",Aaj aapne pakad liya: LeT man Dujana before being killed,5,3,4,2,2,3,devansh,3,5,5,5,5,5,viranya,http://indiatoday.intoday.in/story/abu-dujana-last-phone-call-lashkar-e-taiba-jammu-and-kashmir/1/1017550.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
4,4,"Police claim it was an ?unprovoked suicide? and denied use of force. An internal inquiry as well as a magisterial probe is in process, police said. The relatives of the deceased suspect foul play in the death.",A 32-year-old man on Wednesday was found hanging inside the washroom of a Delhi police station after he was called for interrogation. His family alleged that he could have been emotionally and physically tortured. Police said the man was named as a suspect in the kidnapping case of a married woman with whom he had been in a relationship earlier.,"Man found dead at Delhi police station, kin allege foul play",3,3,3,2,2,2,devansh,4,3,5,4,4,4,viranya,http://www.hindustantimes.com/delhi-news/man-found-dead-at-police-station-in-delhi-family-suspects-foul-play/story-o6Yiekn6BLSPKGWK1etTOJ.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
5,5,"Deepak Kumar, the victim, was hit by a motor vehicle driven by Ajay Kumar in Palam. The trial court had awarded a compensation of Rs 10 lakh to him after ruling negligence on Ajay's part. The Delhi high court reduced the compensation awarded to a motor accident victim by 45 per cent.","The Delhi High Court reduced the compensation awarded to a motor accident victim by 45% after it found negligence on the part of both parties. A compensation of ?10 lakh was earlier awarded to the victim. The court observed, ""It's possible despite the vehicle being driven in permissible limit, an accident can occur when a jaywalker suddenly appears on road."" ",Delhi HC reduces aid for 'negligent' accident victim by 45%,4,4,5,5,3,4,devansh,4,4,5,4,3,4,viranya,http://indiatoday.intoday.in/story/delhi-high-court-accident-compensation/1/1017531.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
6,6,"The Food Safety and Standards Authority of India (FSSAI) is in the process of creating a network of food banking partners to collect and distribute leftover food. A notification to create a separate category of food business operators (FBOs), who will be licensed to deal only with leftover food, has been drafted.","India's food regulator Food Safety and Standards Authority of India (FSSAI) is planning to create a network to collect leftover food and provide it to the needy. It is looking to connect with organisations which can collect, store and distribute leftover food from weddings and large parties. It further added that all food must meet the safety and hygiene standards.",Food regulator planning leftover banks to feed hungry people,5,5,5,4,4,4,devansh,5,5,4,5,5,4,viranya,http://www.hindustantimes.com/india-news/india-s-food-regulator-plans-leftover-banks-to-feed-the-hungry/story-Mi5UpiXRpCcodCvxqHGZ7M.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
7,7,"Bharti Sharma, mother of the 16-year-old boy who made headlines for getting a job offer from Google and then for it being a hoax, said on Wednesday the incident had ?devastated? her son?s life. Bharti said Harshit got a hoax call, and not a letter, informing him about his selection for the post of graphic designer.","The mother of Harshit Sharma, the class 12 Chandigarh boy who got a hoax job offer call from Google, said that the incident ""devastated"" his life. He got a call, after which he shared the information with the school principal, who sent out a press release. Harshit is hospitalised since Google denied giving him a job, his mother added.",Call devastated his life: Mom of boy who got 'Google' offer,5,4,4,4,5,4,devansh,5,5,5,5,5,5,viranya,http://www.hindustantimes.com/punjab/google-job-hoax-a-phone-call-devastated-my-child-s-life-says-mother-of-chandigarh-teenager/story-seXaasS98Q2RLfpheGEl7L.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
8,8,"Only 26 malls and commercial centres on Mehrauli-Gurgaon road, Golf Course Road and Sohna Road will offer free parking in their basements. MCG had earlier said it will waive property tax on basements if the same were used to provide free parking. Building owners said the revenue from parking is higher than the gains from the property tax waiver.","Municipal Corporation of Gurugram on Wednesday said that 19 out of 45 commercial building owners have decided to pay property tax instead of providing free parking to the public. Notably, MCG earlier offered a property tax waiver for building basements if they were used to provide free parking. However, the owners allegedly said that revenues from parking profited them more.",19 Gurugram buildings to pay property tax over free parking,4,3,4,3,3,3,devansh,5,4,4,3,4,4,viranya,http://www.hindustantimes.com/gurgaon/mcg-s-new-list-says-only-26-commercial-sites-will-offer-free-parking/story-yhFWFCmVjDoKWJ2qkMhg8N.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
9,9,"A bench of justices Dipak Misra, Amitava Roy and AM Khanwilkar agreed to examine the constitutional validity of the August 1 notification of the poll panel allowing the NOTA option. The NOTA ? none of the above ? option allows voters to reject all candidates in fray.",The Supreme Court today refused to stay the exercise of NOTA (none of the above) option in the Gujarat Rajya Sabha elections scheduled to take place on 8 August. The SC further said that the issue would be heard as a constitutional question ? whether NOTA would apply to election of council of states. ,Gujarat Rajya Sabha polls to be held with NOTA option: SC,4,3,4,3,2,2,devansh,5,5,5,4,4,4,viranya,http://www.hindustantimes.com/india-news/supreme-court-declines-plea-to-stay-nota-for-gujarat-rajya-sabha-polls/story-IEn3cIgaT8JbgSzaB32s2L.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
10,10,"Tanveer Hussain was indicted last week by an Essex County grand jury for allegedly having inappropriate contact with a 12-year-old Saranac Lake girl earlier this year. Hussain had been arrested in March on charges of sexually abusing the minor girl, two days after he competed in the World Snowshoe Championships at Dewey Mountain Recreation Center.","Tanveer Hussain, a 24-year-old Indian athlete from Kashmir, has been indicted in the US on charges of sexually abusing a minor girl, during a visit to the US for a snowshoe competition. An Essex County jury has charged Hussain with one count of first-degree sexual abuse and two counts of endangering the welfare of a child.",Indian athlete indicted on sex abuse charge in US,5,5,4,5,3,4,devansh,4,3,4,3,4,4,viranya,http://www.hindustantimes.com/other-sports/indian-athlete-indicted-on-sex-abuse-charge-in-us/story-gUBUg4dL4AYhqiJQZXxhkL.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
11,11,"The 7cm foetus, weighing 150 gm and complete with a brain, arms and limbs, was found behind the baby?s stomach. The condition, called fetus in fetu, is so rare that only about 100-200 such cases have been reported from all over the world.",A newborn boy in Maharashtra's Thane was found to be 'pregnant' with own half-formed twin that was feeding off the boy's blood supply. The doctors said that it was a very rare condition called 'fetus in fetu' with less than 200 such cases recorded till date. The doctors successfully operated to remove the 7-cm fetus that weighed 150 gram.,Baby 'pregnant' with malformed twin born in Maharashtra,5,5,5,5,4,4,devansh,4,3,3,4,3,4,viranya,http://www.hindustantimes.com/india-news/baby-in-thane-born-pregnant-with-twin-brother-feeding-off-his-body/story-shjjTfMU7msFuyASqpV3GO.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
12,12,Lieutenant governor Anil Baijal has directed the New Delhi Municipal Council (NDMC) chairman to take control of the Ring Road and Aurobindo Marg stretches. The move follows repeated complaints from Safdarjung Hospital authorities that doctors and patients get delayed in reaching the institute on time as they get stuck in traffic outside.,"The North Delhi Municipal Corporation has said that the Ring Road and Aurobindo Marg near AIIMS and Safdarjung Hospitals will be declared a no-hawker zone. The move is aimed at streamlining traffic movement outside the hospitals so that patients, doctors, and ambulances coming to the medical institutes get easier access and other commuters do not face any hassle. ","Delhi's AIIMS, Safdarjung to be declared no-hawker zone",5,3,4,3,2,3,devansh,4,3,4,4,5,4,viranya,http://indiatoday.intoday.in/story/delhi-aiims-safdarjung-street-vendors-no-hawker-zone-ndmc-encroachment/1/1016618.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle 
